"ISSN","TIULO","ESTRATO"
"00029637","THE AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","A1"
"00029645","AMERICAN JOURNAL OF VETERINARY RESEARCH","A2"
"00029726","THE JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION","A2"
"00029890","THE AMERICAN MATHEMATICAL MONTHLY","B2"
"00029939","PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY","A2"
"00029947","TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY","A1"
"00029955","JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","A1"
"00029955","JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION (CESSOU EM 1960. CONT. ISSN 0098-7484 JAMA (CHICAGO, ILL.))","A1"
"00030007","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","A1"
"0003004X","THE AMERICAN MINERALOGIST","A1"
"00030082","AMERICAN MUSEUM NOVITATES","B1"
"00030090","BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY","A1"
"00030147","AMERICAN NATURALIST","A1"
"00030147","THE AMERICAN NATURALIST","A1"
"0003021X","JOURNAL OF THE AMERICAN OIL CHEMISTS' SOCIETY","A2"
"00030481","AMERICAN PHILOSOPHICAL QUARTERLY (OXFORD)","B1"
"00030503","AMERICAN PHYSICAL SOCIETY. BULLETIN","C "
"00030554","THE AMERICAN POLITICAL SCIENCE REVIEW","A1"
"00031062","JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE","A2"
"00031224","AMERICAN SOCIOLOGICAL REVIEW","A1"
"00031305","THE AMERICAN STATISTICIAN","A2"
"00031348","THE AMERICAN SURGEON","B3"
"00031488","JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION","B1"
"00031615","THE AMERICAS (WASHINGTON. 1944)","B1"
"00032409","ANAESTHESIA (LONDON. PRINT)","A2"
"00032573","ANÁLISE SOCIAL","A1"
"00032654","ANALYST (LONDON)","A2"
"00032654","ANALYST (LONDON. 1877. PRINT)","A1"
"00032670","ANALYTICA CHIMICA ACTA","A1"
"00032670","ANALYTICA CHIMICA ACTA (PRINT)","A1"
"00032697","ANALYTICAL BIOCHEMISTRY (PRINT)","A2"
"00032700","ANALYTICAL CHEMISTRY","A1"
"00032700","ANALYTICAL CHEMISTRY (WASHINGTON)","A1"
"00032719","ANALYTICAL LETTERS","B1"
"0003276X","JOURNAL OF PHYSICAL CHEMISTRY (1952) (CESSOU EM 1996. CONT. ISSN 1089-5639 THE JOURNAL OF PHYSICAL CHEMISTRY. A E ISSN 1520-6106 JOURNAL OF PHYSICAL CHEMISTRY. B","B3"
"00032999","ANESTHESIA AND ANALGESIA","A1"
"00033006","ANESTHESIA PROGRESS","B2"
"00033022","ANESTHESIOLOGY (PHILADELPHIA)","A1"
"00033197","ANGIOLOGY (ROSLYN, N.Y.)","A2"
"00033219","ANGLE ORTHODONTIST","A2"
"00033219","THE ANGLE ORTHODONTIST","A2"
"00033472","ANIMAL BEHAVIOUR","A1"
"00033804","ANNALEN DER PHYSIK (LEIPZIG)","A1"
"00033847","ANNALES BOTANICI FENNICI (PRINT)","B1"
"00034088","ANNALES DE LIMNOLOGIE","B1"
"00034347","ANNALES DES TELECOMMUNICATIONS","B1"
"00034347","ANNALES DES TÉLÉCOMMUNICATIONS","B1"
"0003438X","ANNALES D'OTO-LARYNGOLOGIE ET DE CHIRURGIE CERVICO-FACIALE","C "
"00034541","ANNALES ZOOLOGICI","B1"
"0003455X","ANNALES ZOOLOGICI FENNICI (PRINT)","B1"
"00034681","ANNALI DI STOMATOLOGIA","B3"
"00034746","ANNALS OF APPLIED BIOLOGY","A1"
"00034800","ANNALS OF HUMAN GENETICS (PRINT)","A2"
"00034819","ANNALS OF INTERNAL MEDICINE","A1"
"0003486X","ANNALS OF MATHEMATICS","A1"
"00034878","ANNALS OF OCCUPATIONAL HYGIENE","A2"
"00034894","THE ANNALS OF OTOLOGY, RHINOLOGY & LARYNGOLOGY","B2"
"00034916","ANNALS OF PHYSICS (NEW YORK)","B1"
"00034916","ANNALS OF PHYSICS (PRINT)","A1"
"00034932","ANNALS OF SURGERY","A1"
"00034967","ANNALS OF THE RHEUMATIC DISEASES","A1"
"00034975","THE ANNALS OF THORACIC SURGERY","A1"
"00034983","ANNALS OF TROPICAL MEDICINE AND PARASITOLOGY","B3"
"00035459","ANTHROPOLOGICA","B1"
"00035521","L'ANTHROPOLOGIE (PARIS)","A1"
"00035599","ANTI-CORROSION METHODS AND MATERIALS","B1"
"0003598X","ANTIQUITY (CAMBRIDGE)","A1"
"00036072","ANTONIE VAN LEEUWENHOEK (GEDRUKT)","A2"
"00036390","APEIRON (CLAYTON, VIC.)","A2"
"00036811","APPLICABLE ANALYSIS","B1"
"0003682X","APPLIED ACOUSTICS","A1"
"00036846","APPLIED ECONOMICS","A1"
"00036846","APPLIED ECONOMICS (PRINT)","A1"
"00036862","APPLIED ENTOMOLOGY AND ZOOLOGY","B1"
"00036870","APPLIED ERGONOMICS","A1"
"00036935","APPLIED OPTICS","A1"
"00036951","APPLIED PHYSICS LETTERS","A1"
"00037028","APPLIED SPECTROSCOPY","A2"
"00037214","AQUA (LONDON. PRINT)","B1"
"00037982","ARCADIA - INTERNATIONAL JOURNAL FOR LITERARY STUDIES","A2"
"00038504","ARCHITECTURAL DESIGN","A2"
"00038628","ARCHITECTURAL SCIENCE REVIEW (SYDNEY)","B2"
"00038695","L' ARCHITECTURE D'AUJOURD'HUI","A2"
"0003889X","ARCHIV DER MATHEMATIK (PRINTED ED.)","B1"
"0003892X","ARCHIV DES VÖLKERRECHTS","B3"
"00039136","ARCHIV FÜR HYDROBIOLOGIE","B1"
"00039438","ARCHIV FUR TIERZUCHT / ARCHIVES OF ANIMAL BREEDING","B1"
"00039519","ARCHIVE FOR HISTORY OF EXACT SCIENCES (PRINT)","B3"
"00039527","ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS (PRINT)","A1"
"00039632","ARCHIVES DE PHILOSOPHIE","A1"
"00039861","ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","B1"
"00039861","ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS (PRINT)","A1"
"00039888","ARCHIVES OF DISEASE IN CHILDHOOD","A2"
"0003990X","ARCHIVES OF GENERAL PSYCHIATRY","A2"
"00039926","ARCHIVES OF INTERNAL MEDICINE (1960)","A1"
"00039942","ARCHIVES OF NEUROLOGY (CHICAGO)","B4"
"00039950","ARCHIVES OF OPHTHALMOLOGY (1960)","B4"
"00039969","ARCHIVES OF ORAL BIOLOGY","A2"
"00039985","ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE (1976)","A2"
"00039993","ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION (PRINT)","A1"
"00040002","ARCHIVES OF SEXUAL BEHAVIOR","A1"
"00040428","ARCHIVO ESPAÑOL DE ARTE","B2"
"00040592","ARCHIVOS DE ZOOTECNIA","B1"
"00040592","ARCHIVOS DE ZOOTECNIA (INTERNET)","B2"
"00040622","ARCHIVOS LATINOAMERICANOS DE NUTRICIÓN","A2"
"0004069X","ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS","A1"
"00042080","ARKIV FOR MATEMATIK","A2"
"00042730","ARQUIVOS BRASILEIROS DE ENDOCRINOLOGIA E METABOLOGIA (IMPRESSO)","A2"
"00042749","ARQUIVOS BRASILEIROS DE OFTALMOLOGIA","B2"
"00042749","ARQUIVOS BRASILEIROS DE OFTALMOLOGIA (IMPRESSO)","B1"
"00042773","ARQUIVOS CATARINENSES DE MEDICINA (IMPRESSO)","B3"
"00042803","ARQUIVOS DE GASTROENTEROLOGIA (IMPRESSO)","B1"
"0004282X","ARQUIVOS DE NEURO-PSIQUIATRIA","A2"
"0004282X","ARQUIVOS DE NEURO-PSIQUIATRIA (IMPRESSO)","A2"
"00042927","ARS PHARMACEUTICA","B4"
"00043079","THE ART BULLETIN (NEW YORK, N.Y.)","A1"
"00043125","ART EDUCATION (RESTON)","B3"
"00043249","ART JOURNAL (NEW YORK, 1960)","B1"
"00043591","ARTHRITIS AND RHEUMATISM","A1"
"00043702","ARTIFICIAL INTELLIGENCE (GENERAL ED.)","A1"
"00044172","DRUG RESEARCH","B3"
"00044822","REVISTA DE LA ASOCIACIÓN GEOLÓGICA ARGENTINA","B2"
