"ISSN","TIULO","ESTRATO"
"19807732","LETRAS EM REVISTA","B2"
"19807759","GEOAMAZÔNIA","B4"
"19807759","GEOAMAZÔNIA (UFPA)","B4"
"19807775","PANÓPTICA","B5"
"19807775","PANÓPTICA (VITÓRIA)","B4"
"19807791","REVISTA ELETRÔNICA DIREITO E POLÍTICA","B1"
"19807791","REVISTA ELETRÔNICA DIREITO E POLÍTICA (ONLINE)","B1"
"19807805","DIREITOS CULTURAIS","B1"
"19807805","REVISTA DIREITO CULTURAIS - URI SANTO ANGELO","B1"
"19807813","REVISTA CIENTÍFICA DA FACULDADE DE MEDICINA DE CAMPOS","B5"
"19807848","SOCIOPOÉTICA (UEPB. IMPRESSO)","B5"
"19807856","SOCIOPOÉTICA (ONLINE)","B3"
"19807864","REVISTA DE DIREITOS E GARANTIAS FUNDAMENTAIS (FDV)","A1"
"19807872","AVE MARIA","C "
"19807961","JORNAL ILAPEO","B5"
"1980797X","FEPAM EM REVISTA (IMPRESSO)","B5"
"19808178","REVISTA DE PATOLOGIA TROPICAL (ONLINE)","B3"
"19808194","REVISTA SOCIEDADE E CULTURA","B2"
"19808194","SOCIEDADE E CULTURA","B2"
"19808194","SOCIEDADE E CULTURA (ONLINE)","A2"
"19808208","ESTUDOS GEOLOGICOS","B4"
"19808208","ESTUDOS GEOLÓGICOS (UFPE)","B4"
"19808224","ADVERBUM (CAMPINAS)","B4"
"19808259","TEXTOS PARA DISCUSS<U+F1C3>O (CECI)","C "
"19808305","ÚLTIMO ANDAR (PUCSP. ONLINE)","B2"
"19808348","MORINGA (JO<U+F1C3>O PESSOA)","A2"
"19808372","REVISTA ELETRÔNICA DE ESTUDOS HEGELIANOS","B1"
"19808380","DOM - FUNDAÇ<U+F1C3>O DOM CABRAL","B5"
"19808380","DOM (FUNDAÇ<U+F1C3>O DOM CABRAL)","B5"
"19808380","DOM / REVISTA DA FUNDAÇ<U+F1C3>O DOM CABRAL","B5"
"19808380","REVISTA DOM","B5"
"1980850X","CIÊNCIA & EDUCAÇ<U+F1C3>O","A1"
"1980850X","CIÊNCIA & EDUCAÇ<U+F1C3>O (ONLINE)","A1"
"19808518","LIBERTAS (UFJF. ONLINE)","B3"
"19808518","REVISTA LIBERTAS","B4"
"19808526","FATECNOLÓGICA (FATEC-JAHU)","B4"
"19808585","REMHU (BRASÍLIA)","A2"
"19808607","REVISTA SEMENTE","B5"
"19808623","PSICO (PUCRS. ONLINE)","A2"
"19808623","REVISTA PSICO","B1"
"19808631","CIÊNCIA & ENSINO","B2"
"19808631","CIÊNCIA & ENSINO (ONLINE)","B1"
"1980864X","ESTUDOS IBERO-AMERICANOS","A2"
"19808666","PLEIADE (UNIAMÉRICA)","B4"
"19808747","SOCIOLOGIA (S<U+F1C3>O PAULO. 2006)","B3"
"1980881X","GAMA (RIO DE JANEIRO)","C "
"19808860","REVISTA DO MESTRADO EM DIREITO UCB","B1"
"19808879","INTERDISCIPLINAR: REVISTA DE ESTUDOS EM LÍNGUA E LITERATURA","B2"
"19808933","MOSAICO SOCIAL","B5"
"19808976","BOLETIM DA SOCIEDADE BRASILEIRA DE LIMNOLOGIA","B5"
"19808992","TÓPICA : REVISTA DE PSICANÁLISE","B4"
"1980900X","GEOCIÊNCIAS (S<U+F1C3>O PAULO. ONLINE)","B1"
"19809026","LINHA MESTRA","B2"
"19809026","LINHA MESTRA (ASSOCIAÇ<U+F1C3>O DE LEITURA DO BRASIL)","B2"
"19809131","JURIS RATIONIS - REVISTA DA PÓS-GRADUAÇ<U+F1C3>O EM DIREITO DA UNIVERSIDADE POTIGUAR","C "
"19809131","JURIS RATIONIS (UNP)","C "
"19809166","CORPVS (FIC)","C "
"19809204","TRATAMENTO DE SUPERFÍCIE","B3"
"19809387","REVISTA DA SOCIEDADE BRASILEIRA DE GEOGRAFIA","C "
"19809425","CIÊNCIAS DA RELIGI<U+F1C3>O:HISTÓRIA E SOCIEDADE","B2"
"19809425","REVISTA CIÊNCIAS DA RELIGI<U+F1C3>O: HISTÓRIA E SOCIEDADE","B2"
"19809433","COLEÇ<U+F1C3>O MULTITEXTOS","B5"
"19809433","REVISTA MULTITEXTOS CTCH","C "
"1980945X","REVISTA CIENTÍFICA FAP","B4"
"19809484","ANUÁRIO BRASILEIRO DE DIREITO INTERNACIONAL","B5"
"1980959X","ARQUIVOS DO MUDI","C "
"19809662","REVISTA JURÍDICA DO MINISTÉRIO PÚBLICO (JO<U+F1C3>O PESSOA. IMPRESSO)","C "
"19809697","PESQUISAS EM DISCURSO PEDAGÓGICO (ON-LINE)","B2"
"19809697","PESQUISAS EM DISCURSO PEDAGÓGICO (ONLINE)","B2"
"19809700","CADERNOS DE PESQUISA: PENSAMENTO EDUCACIONAL (CURITIBA. IMPRESSO)","B1"
"19809735","REVISTA BRASILEIRA DE AGROECOLOGIA","B2"
"19809735","REVISTA BRASILEIRA DE AGROECOLOGIA (ONLINE)","B2"
"19809743","SOILS & ROCKS","B1"
"19809786","SERAFINO (S<U+F1C3>O PAULO)","B5"
"19809824","ÂNCORA (INSTITUTO ÂNCORA DE ENSINO. ONLINE)","C "
"19809824","ÂNCORA: REVISTA DIGITAL DE ESTUDOS EM RELIGI<U+F1C3>O","C "
"19809867","SÉRIE ANTROPOLOGIA (BRASÍLIA. ONLINE)","B4"
"19809875","REVISTA RET-SUS (IMPRESSO)","C "
"19809913","REVISTA DO TRIBUNAL REGIONAL DO TRABALHO DA 7S REGI<U+F1C3>O","C "
"19809921","REVISTA Z CULTURAL (UFRJ)","B1"
"1980993X","AMBIENTE E ÁGUA","B1"
"1980993X","REVISTA AMBIENTE & ÁGUA","A2"
"1980993X","REVISTA AMBIENTE E AGUA","B1"
"19810180","PESQUISA E MÚSICA","B4"
"19810253","REVISTA ALAMEDAS (UNIOESTE. TOLEDO)","B4"
"1981030X","19&20 (RIO DE JANEIRO)","B2"
"19810326","MARUPIARA","B5"
"19810342","REVISTA DE VILLEGAGNON (IMPRESSO)","B5"
"19810377","REVISTA ELETRÔNICA DA FACULDADE METODISTA GRANBERY","B4"
"19810431","LINHAS CRÍTICAS","B2"
"19810431","LINHAS CRÍTICAS (ONLINE)","B1"
"19810490","CADERNOS DE PSICOLOGIA SOCIAL DO TRABALHO","B1"
"19810601","INTERTEXTO (UBERABA)","B2"
"1981061X","VERINOTIO (BELO HORIZONTE)","B4"
"19810660","CADERNOS UNDB","C "
"19810687","REVISTA DO CURSO DE DIREITO","B4"
"19810687","REVISTA DO CURSO DE DIREITO (SOPECE)","C "
"19810695","PESQUISA BRASILEIRA EM CIÊNCIA DA INFORMAÇ<U+F1C3>O E BIBLIOTECONOMIA","B1"
"19810695","PESQUISA BRASILEIRA EM CIÊNCIA DA INFORMAÇ<U+F1C3>O E BIBLIOTECONOMIA,","B1"
"19810881","CERES: NUTRIÇ<U+F1C3>O & SAÚDE","B4"
"1981089X","GEOGRAFAR REVISTA ELETRÔNICA DO PROGRAMA DE PÓS-GRADUAÇ<U+F1C3>O EM GEOGRAFIA DA UFPR","B1"
"1981089X","REVISTA GEOGRAFAR (UFPR)","B1"
"19810911","CULTURA CRÍTICA","B4"
"1981092X","CAMPO DIGIT@L (FACULDADE INTEGRADO DE CAMPO MOUR<U+F1C3>O)","B5"
"19810997","REVISTA BRASILEIRA DE CIENCIAS AGRARIAS","B1"
"19811098","INDEPENDÊNCIA (FDJ)","C "
"19811152","LABOR & ENGENHO (CENTRO DE MEMÓRIA UNICAMP)","B5"
"19811160","REVISTA BRASILEIRA DE CIÊNCIAS AGRÁRIAS","B1"
"19811160","REVISTA BRASILEIRA DE CIÊNCIAS AGRÁRIAS (AGRÁRIA)","B1"
"19811179","ID ONLINE - REVISTA MULTIDISCIPLINAR E DE PSICOLOGIA","B2"
"19811209","TELA CRÍTICA (UNESP. MARÍLIA)","C "
"1981125X","REVISTA OBSERVATÓRIO ITAÚ CULTURAL","B4"
"19811268","GAIA SCIENTIA","B2"
"19811268","GAIA SCIENTIA (UFPB)","B1"
"19811322","REVEMAT","A2"
"19811322","REVEMAT : REVISTA ELETRÔNICA DE EDUCAÇ<U+F1C3>O MATEMÁTICA","A2"
"19811330","ALETHEIA","B2"
"19811349","BOLETIM (USP. GRUPO DE ESTUDOS DO CENTRO DE PESQUISAS EM ARTE & FOTOGRAFIA DO DEPARTAMENTO DE ARTES PLÁSTICAS)","B5"
"19811349","BOLETIM ECA/USP","B5"
"19811381","DISCIPLINARUM SCIENTIA. SÉRIE CIÊNCIAS HUMANAS","C "
"19811411","AFRO-ÁSIA","B1"
"19811411","AFROASIA","A2"
"19811411","REVISTA AFRO-ÁSIA","B1"
"19811446","REVISTA DE ODONTOLOGIA (S<U+F1C3>O PAULO. ONLINE)","B4"
"19811489","DOUTRINAS JURÍDICAS","C "
"19811543","GEST<U+F1C3>O & TECNOLOGIA DE PROJETOS","B1"
"19811551","SOCIEDADE E DESENVOLVIMENTO RURAL","B3"
"1981156X","REVISTA NURES","B4"
"1981156X","REVISTA NURES. PUBLICAÇ<U+F1C3>O ELETRÔNICA DO NÚCLEO DE ESTUDOS RELIGI<U+F1C3>O E SOCIEDADE","B4"
"19811578","PÁGINAS DE DIREITO","C "
"19811578","PÁGINAS DE DIREITO - WWW.TEX.PRO.BR","C "
"19811608","REVISTA DO INSTITUTO DOS ADVOGADOS DE MINAS GERAIS","C "
"19811624","ESTILOS DA CLÍNICA","B1"
"19811640","BRAZILIAN JOURNAL OF INFORMATION SCIENCE","B1"
"19811659","REVISTA BRASIELIRA DE SEGURANÇA PÚBLICA","B4"
"19811659","REVISTA BRASILEIRA DE SEGURANÇA PÚBLICA","B1"
"19811683","ATUAÇ<U+F1C3>O (MINISTÉRIO PÚBLICO CATARINENSE)","C "
"19811764","REVISTA BRASILEIRA DE EDUCAÇ<U+F1C3>O AMBIENTAL","B2"
"19811764","REVISTA BRASILEIRA DE EDUCAÇ<U+F1C3>O AMBIENTAL (ONLINE)","B2"
"19811802","REVISTA EDUCAÇ<U+F1C3>O EM QUEST<U+F1C3>O (ONLINE)","A2"
"19811810","TEMPO E PRESENÇA DIGITAL (ONLINE)","B5"
"19811829","CIÊNCIA E AGROTECNOLOGIA (ONLINE)","A2"
"19811853","REVISTA CARBONO SOCIAL","C "
"19811861","REDAE (SALVADOR)","C "
"1981187X","REDE (IBDP)","C "
"19811896","REVISTA AUGUSTUS (UNISUAM. ONLINE)","B3"
"19811896","REVISTA AUGUSTUS ON-LINE","B4"
"19811969","JORNAL DE POLÍTICAS EDUCACIONAIS","B1"
"19812035","REVISTA DA AGU","B2"
"19812132","COMUNICOLOGIA (BRASÍLIA)","B2"
"19812140","CSONLINE - REVISTA ELETRONICA DE CIENCIAS SOCIAIS UFJF","B4"
"19812140","CSONLINE (UFJF)","B5"
"19812183","INTERAÇ<U+F1C3>O (S<U+F1C3>O PAULO)","C "
"19812221","REVISTA BRASILEIRA DE DIREITO TRIBUTÁRIO E FINANÇAS PÚBLICAS","B4"
"1981223X","FOCO (FACULDADE NOVO MILÊNIO)","B4"
"19812256","REVISTA BRASILEIRA DE GERIATRIA E GERONTOLOGIA","B1"
"1981240X","FERRAMENTAL (CURITIBA)","B4"
"1981240X","REVISTA BRASILEIRA DA INDÚSTRIA DE FERRAMENTAIS - FERRAMENTAL","C "
"19812434","1981-2434","C "
"19812434","REVISTA ELETRÔNICA HISTÓRIA EM REFLEX<U+F1C3>O (UFGD)","B2"
"19812434","REVISTA HISTÓRIA EM REFLEX<U+F1C3>O - REVISTA ELETRÔNICA","B3"
"19812493","REVISTA DE DIREITO DO TERCEIRO SETOR","B4"
"19812507","REVISTA DE DIREITO DE INFORMÁTICA E TELECOMUNICAÇGES","C "
"19812558","CADERNOS DE LITERATURA EM TRADUÇ<U+F1C3>O","B2"
"19812582","EDUCAÇ<U+F1C3>O (PUCRS)","A2"
"19812825","EINSTEIN. EDUCAÇ<U+F1C3>O CONTINUADA EM SAÚDE","B3"
"19812841","DISCIPLINARUM SCIENTIA. SÉRIE CIÊNCIAS NATURAIS E TECNOLÓGICAS","B4"
"19812922","PERIONEWS (S<U+F1C3>O PAULO)","B3"
"19812965","REVISTA BRASILEIRA DE HIGIENE E SANIDADE ANIMAL","B2"
"19812973","REVISTA EDUCAÇ<U+F1C3>O EM REDE","B5"
"1981299X","PRO-ODONTO. CIRURGIA","C "
"19813007","REVISTA ESPAÇO CIÊNCIA & SAÚDE (UNICRUZ)","C "
"19813015","INTEGRAÇ<U+F1C3>O (FGV)","C "
"19813074","SINTESE: REVISTA DO TRIBUNAL DE CONTAS DO ESTADO DO RIO DE JANEIRO","B5"
"19813082","CADERNO ESPAÇO FEMININO (ONLINE)","B2"
"19813082","REVISTA CADERNO ESPAÇO FEMININO DO NÚCLEO DE ESTUDOS DE GÊNERO E PESQUISA SOBRE A MULHER","B3"
"19813090","CADERNOS DE PESQUISA DO CDHIS (ONLINE)","B3"
"19813147","EDUCANDO EM MOGI-","B5"
"19813155","STUDIUM: REVISTA TEOLÓGICA","C "
"19813163","BIOSCIENCE JOURNAL (ONLINE)","A2"
"19813163","BIOSCIENCE JOURNAL (VERS<U+F1C3>O ONLINE)","B1"
"19813171","LICERE (CENTRO DE ESTUDOS DE LAZER E RECREAÇ<U+F1C3>O. ONLINE)","B2"
"19813171","REVISTA LICERE","B2"
"1981318X","REVISTA ESPAÇO DA SOPHIA","B5"
"19813236","REVISTA PSICOLOGIA EM FOCO (URI. FREDERICO WESTPHALEN)","B4"
"19813341","PONTO URBE","B1"
"19813341","PONTO URBE-REVISTA DO NÚCLEO DE ANTROPOLOGIA URBANA DA USP","B1"
"19813341","PONTO.URBE (USP)","B1"
"19813384","BOLETIM DO TEMPO PRESENTE","B4"
"19813414","DIREITO MILITAR","C "
"19813422","FÓLIO (CENTRO UNIVERSITÁRIO METODISTA)","B4"
"19813511","E-REVISTA FACITEC","C "
"19813686","REVISTA BRASILEIRA DE TECNOLOGIA AGROINDUSTRIAL","B4"
"19813694","REVISTA DO CURSO DE DIREITO DA UFSM","A1"
"19813694","REVISTA ELETRÔNICA DO CURSO DE DIREITO","B4"
"19813694","REVISTA ELETRÔNICA DO CURSO DE DIREITO DA UFSM","A1"
"19813708","ROBRAC (ONLINE) (GOIÂNIA)","B3"
"19813724","REVISTA TEMPO DE CONQUISTA","C "
"19813759","CADERNO VIRTUAL (INSTITUTO BRASILIENSE DE DIREITO PÚBLICO)","B4"
"19813775","INTERBIO","B4"
"19813813","REVISTA PRELEÇ<U+F1C3>O","B5"
"19813813","REVISTA PRELEÇ<U+F1C3>O - PUBLICAÇ<U+F1C3>O INSTITUCIONAL DA POLÍCIA MILITAR DO ESTADO DO ESPÍRITO SANTO","C "
"19813821","BPSR - BRAZILIAN POLITICAL SCIENCE REVIEW","A2"
"19813821","BRAZILIAN POLITICAL SCIENCE REVIEW","A2"
"1981383X","REVISTA DE HISTÓRIA COMPARADA (UFRJ)","B2"
"19813872","RAÍZES JURÍDICAS (UNIVERSIDADE POSITIVO. ONLINE)","B5"
"19813953","REVISTA BRASILEIRA DE ESTUDOS REGIONAIS E URBANOS","B2"
"19813988","REVISTA SINAIS","B2"
"19813988","SINAIS - REVISTA ELETRÔNICA DE CIÊNCIAS SOCIAIS","B3"
"19813988","SINAIS (UFES)","B3"
"19814054","BOLETIM DA AGB-ASSOCIAÇ<U+F1C3>O DE GEÓGRAFOS BRASILEIROS-SEÇ<U+F1C3>O LOCAL DE MARECHAL CÂNDIDO RONDON-PR","B5"
"19814062","REVISTA VISO: CADERNOS DE ESTÉTICA APLICADA","B1"
"19814062","VISO : CADERNOS DE ESTÉTICA APLICADA","B1"
"19814062","VISO: CADERNOS DE ESTÉTICA APLICADA (ONLINE)","B1"
"19814070","LUMINA","B1"
"19814070","LUMINA (UFJF. ONLINE)","B1"
"19814089","REVISTA MIRANTE (ONLINE)","B4"
"19814100","BOLETIM DE INDÚSTRIA ANIMAL (ONLINE)","B2"
"19814119","REVISTA SALUSVITA (ONLINE)","B3"
"19814127","REVISTA DO MESTRADO EM GEST<U+F1C3>O AMBIENTAL E DESENVOLVIMENTO SUSTENTÁVEL DA UERR","B3"
"19814127","REVISTA ELETRÔNICA AMBIENTE: GEST<U+F1C3>O E DESENVOLVIMENTO","B3"
"1981416X","REVISTA DIÁLOGO EDUCACIONA","A2"
"1981416X","REVISTA DIÁLOGO EDUCACIONAL","A2"
"1981416X","REVISTA DIÁLOGO EDUCACIONAL - PUCPR (ONLINE)","B2"
"1981416X","REVISTA DIÁLOGO EDUCACIONAL (PUCPR)","A2"
"19814178","REVISTA ACADÊMICA : CIÊNCIAS AGRÁRIAS E AMBIENTAIS (PUCPR. IMPRESSO)","B4"
"19814194","SKÉPSIS (SALVADOR. IMPRESSO)","B3"
"19814224","EDUCAÇ<U+F1C3>O & IMAGEM (UERJ)","B5"
"19814232","CLIMATIZAÇ<U+F1C3>O & REFRIGERAÇ<U+F1C3>O","C "
"19814275","ORALIDADES (USP)","B4"
"19814291","SPECTRUM (BRASÍLIA. 2000)","B5"
"19814313","COLEÇ<U+F1C3>O PESQUISA EM EDUCAÇ<U+F1C3>O FÍSICA","B4"
"19814364","PNEUMOLOGIA PAULISTA","B5"
"1981450X","UAKARI (IMPRESSO) (BELÉM)","B5"
"19814518","UAKARI (BELÉM. ONLINE)","B4"
"19814526","NAU LITERÁRIA","A2"
"19814534","SKÉPSIS (SALVADOR. ONLINE)","B3"
"19814542","REBEJ (BRASÍLIA)","B3"
"19814542","REVISTA BRASILEIRA DE ENSINO DE JORNALISMO - REBEJ","B3"
"19814666","REVISTA ELETRÔNICA DO CRCRS (ONLINE)","B4"
"19814674","REVISTA TRAMA (UNIOESTE. ONLINE)","B2"
"19814690","REVISTA BRASILEIRA DE EDUCACAO FISICA E ESPORTE","B1"
"19814712","EDUCERE & EDUCARE REVISTA DE EDUCAÇ<U+F1C3>O","B1"
"19814712","EDUCERE ET EDUCARE (VERS<U+F1C3>O ELETRÔNICA)","B1"
"19814747","CIÊNCIAS SOCIAIS EM PERSPECTIVA","B3"
"19814755","LÍNGUAS & LETRAS (ONLINE)","B1"
"19814755","LÍNGUAS & LETRAS (VERS<U+F1C3>O ELETRÔNICA)","B1"
"19814755","REVISTA LÍNGUAS E LETRAS","B1"
"19814763","ACADEMIA - REVISTA DE DIVULGAÇ<U+F1C3>O CIENTÍFICA EM CIÊNCIAS JURÍDICAS E SOCIAIS","B5"
"19814771","REVISTA DE ECONOMIA AGRÍCOLA (IMPRESSO)","B3"
"1981478X","ESPAÇO PLURAL (MARECHAL CÂNDIDO RONDON. ONLINE)","B1"
"1981478X","REVISTA ESPAÇO PLURAL","B4"
"19814798","TEMPO DA CIÊNCIA","B3"
"19814801","REVISTA PERSPECTIVA GEOGRÁFICA (ONLINE)","B3"
"1981481X","VARIA SCIENTIA","B5"
"1981481X","VARIA SCIENTIA (UNIOESTE)","B4"
"19814836","PSICOTERAPIA PSICANALÍTICA","B5"
"19814941","REVISTAS TRABALHISTA - ANAMATRA","C "
"19814984","REVISTA DE RADIODIFUS<U+F1C3>O","B5"
"19815239","LETRAS & LETRAS","B4"
"19815239","LETRAS & LETRAS (ONLINE)","B1"
"19815239","LETRAS & LETRAS (UFU)","B1"
"19815239","LETRAS & LETRAS (UFU. IMPRESSO)","B1"
"19815271","REVISTA BRASILEIRA DE EDUCAÇ<U+F1C3>O MÉDICA (ONLINE)","A1"
"1981528X","REVISTA BRASILEIRA DE FARMACOGNOSIA","A2"
"19815336","KRITERION: REVISTA DE FILOSOFIA","A1"
"19815344","PERSPECTIVAS EM CIÊNCIA DA INFORMAÇ<U+F1C3>O","A1"
"19815344","PERSPECTIVAS EM CIÊNCIA DA INFORMAÇ<U+F1C3>O (ON LINE)","A1"
"19815387","UNIVERSIDADE FEDERAL DO CEARA. FACULDADE DE DIREITO. REVISTA DOS ESTUDANTES","C "
"19815433","ALMANAQUE UNIGRANRIO DE PESQUISA","B4"
"19815441","ALMANAQUE UNIGRANRIO","B5"
"19815441","ALMANAQUE UNIGRANRIO DE INICIAÇ<U+F1C3>O CIENTÍFICA","B5"
"1981545X","VERACIDADE - REVISTA ELETRÔNICA DA SECRETARIA MUNICIPAL DE PLANEJAMENTO","C "
"19815484","ACTA VETERINARIA BRASILICA","B1"
"19815484","ACTA VETERINARIA BRASILICA (UFERSA)","B1"
"19815506","BLC (S<U+F1C3>O PAULO)","C "
"19815514","BDM (S<U+F1C3>O PAULO. IMPRESSO)","B4"
"19815514","BOLETIM DE DIREITO MUNICIPAL","B5"
"19815522","BDA (S<U+F1C3>O PAULO)","B4"
"19815522","BOLETIM DE DIREITO ADMINISTRATIVO","B4"
"19815522","BOLETIM DE DIREITO ADMINISTRATIVO - BDA","B4"
"1981559X","ARTE! BRASILEIROS","C "
"19815603","ESCRITAS (GOIÂNIA)","B4"
"19815662","DIRECIONAL ESCOLAS (IMPRESSO) (CESSOU EM 2007. CONT. 1982-2898 DIRECIONAL EDUCADOR (IMPRESSO))","B5"
"19815689","SÉRIE TEXTOS ÁGUA E AMBIENTE","B5"
"19815700","RAC ELETRÔNICA","A2"
"19815778","DISCIPLINARUM SCIENTIA","B5"
"19815778","DISCIPLINARUM SCIENTIA ? CIÊNCIAS SOCIAIS APLICADAS","B5"
"19815794","ALFA: REVISTA DE LINGUÍSTICA (UNESP. ONLINE)","A1"
"19815875","VESTÍGIOS. REVISTA LATINO-AMERICANA DE ARQUEOLOGIA HISTÓRICA","B1"
"19815913","REVISTA APRENDIZAGEM (PINHAIS, PR)","B4"
"19815921","LATITUDE","B1"
"19815921","LATITUDE - REVISTA DO PPGS UFAL","B1"
"19815921","LATITUDE (UFAL)","B1"
"19816006","AEDIFICANDI REVISTA DE ARQUITETURA E CONSTRUÇ<U+F1C3>O","C "
"19816014","REVISTA CIENTÍFICA DA UFPA","B4"
"19816081","HIPERTEXTOS REVISTA DIGITAL","B4"
"19816081","HIPERTEXTUS REVISTA DIGITAL (UFPE)","B1"
"19816162","REVISTA BRASILEIRA DE ESTUDOS CNSTITUCIONAIS","B3"
"19816162","REVISTA BRASILEIRA DE ESTUDOS CONSTITUCIONAIS","B2"
"19816197","BOLETIM DO OBSERVATÓRIO AMBIENTAL ALBERTO RIBEIRO LAMEGO","B4"
"19816197","BOLETIM DO OBSEVATÓRIO AMBIENTAL ALBERTO RIBEIRO LAMEGO","B5"
"19816200","REVISTA DO TRE-AL","C "
"19816243","MENSAGEM DOCE (ASSOCIAÇ<U+F1C3>O PAULISTA DE APICULTORES, CRIADORES DE ABELHAS MELIFICAS EUROPÉIAS)","B5"
"1981626X","ESCRITOS (FUNDAÇ<U+F1C3>O CASA DE RUI BARBOSA)","B4"
"19816278","RECIIS-REVISTA ELETRÔNICA DE COM. INFORMAÇ<U+F1C3>O & INOVAÇ<U+F1C3>O EM SAÚDE","B1"
"19816278","RECIIS - REVISTA ELETRÔNICA DE COMUNICAÇ<U+F1C3>O, INFORMAÇ<U+F1C3>O & INOVAÇ<U+F1C3>O EM SAÚDE","B2"
"19816278","RECIIS. REVISTA ELETRÔNICA DE COMUNICAÇ<U+F1C3>O, INFORMAÇ<U+F1C3>O & INOVAÇ<U+F1C3>O EM SAÚDE (EDIÇ<U+F1C3>O EM PORTUGUÊS. ONLINE)","B1"
"19816286","RECIIS","B1"
"19816324","BRAZILIAN JOURNAL OF BIOMOTRICITY","B2"
"19816332","REVISTA MUSEU","B5"
"19816472","INTERPERSONA : AN INTERNATIONAL JOURNAL ON PERSONAL RELATIONSHIPS","B2"
"19816537","TERR@ PLURAL (UEPG. IMPRESSO)","B1"
"19816634","CADERNOS DE CIÊNCIAS SOCIAIS (PORTO DE IDEIAS)","B4"
"19816677","REVISTA HELB","B2"
"19816677","REVISTA HELB (HISTÓRIA DO ENSINO DE LÍNGUAS NO BRASIL)","B2"
"19816723","BRAZILIAN JOURNAL OF FOOD AND TECHNOLOGY","B2"
"19816723","BRAZILIAN JOURNAL OF FOOD TECHNOLOGY (ONLINE)","B1"
"19816731","BOLETIM NEIT","C "
"1981674X","REVISTA DA CGU","B4"
"19816758","REVISTA DO CEPEJ","C "
"19816766","PONTODEACESSO (UFBA)","B1"
"19816774","REVISTA AMAZÔNIA LEGAL DE ESTUDOS SÓCIO-JURÍDICO-AMBIENTAIS (UFMT)","C "
"19816812","INTERFACES DE SABERES (FAFICA. ONLINE)","C "
"19816855","CORPUS ET CINETIA","B5"
"19816855","CORPUS ET SCIENTIA","B4"
"19816855","REVISTA CORPUS ET SCIENTIA","B4"
"19816871","LÍNGUA, LITERATURA E ENSINO (UNICAMP)","B4"
"19816936","PESQUISAÇ<U+F1C3>O: CONSTRUINDO CONHECIMENTOS EM EAD","B4"
"19816979","EDUCAÇ<U+F1C3>O MATEMÁTICA EM FOCO (UEPB)","B3"
"19816979","EDUCAÇ<U+F1C3>O MATEMÁTICA EM FOCO (UFPB)","B3"
"19817061","REVISTA BRASILEIRA DE ENGENHARIA DE BIOSSISTEMAS","B4"
"19817061","REVISTA BRASILEIRA DE ENGENHARIA DE BIOSSISTEMAS (UNICAMP)","B3"
"1981710X","BERGGASSE19 (RIO DE JANEIRO)","C "
"19817126","MÚSICA EM PERSPECTIVA","B4"
"19817169","REVISTA CRIOULA - ESTUDOS COMPARADOS DE LITERATURAS DE LINGUA PORTUGUESA","B2"
"19817169","REVISTA CRIOULA (USP)","B2"
"19817177","CONTEMPORÂNEA: PSICANÁLISE E TRANSDISCIPLINARIDADE","C "
"19817207","MOUSEION (UNILASALLE)","A2"
"19817215","BOLETIM DE PESQUISA E DESENVOLVIMENTO (EMBRAPA PANTANAL)","C "
"19817215","BOLETIM DE PESQUISA EMBRAPA PANTANAL","C "
"19817223","DOCUMENTOS","B5"
"19817231","COMUNICADO TÉCNICO (EMBRAPA PANTANAL. ONLINE)","C "
"19817274","REVISTA DA SOGIA","B5"
"19817347","REVISTA DO INSTITUTO HISTÓRICO E GEOGRÁFICO DE SERGIPE","B2"
"19817428","REVISTA UNIVERSIDADE GUARULHOS. GEOCIÊNCIAS (IMPRESSO)","B4"
"19817509","REVISTA CONATUS (UECE. ONLINE)","B4"
"19817517","REVISTA CONATUS (UECE. IMPRESSO)","C "
"19817525","LE MONDE DIPLOMATIQUE (BRASIL)","B4"
"19817592","PRO-ODONTO. PREVENÇ<U+F1C3>O","C "
"19817746","TRABALHO, EDUCAÇ<U+F1C3>O E SAÚDE","A2"
"19817746","TRABALHO, EDUCAÇ<U+F1C3>O E SAÚDE (ONLINE)","A2"
"19817770","REVISTA DO INSTITUTO HISTÓRICO E GEOGRÁFICO DO MARANH<U+F1C3>O","B5"
"19817827","AISTHE (ONLINE)","C "
"19817886","REVISTA DE LETRAS (UNESP)","A2"
"19817886","REVISTA DE LETRAS (UNESP. ONLINE)","A2"
"19817983","REVISTA CIDADE NOVA (CESSOU EM 2007. CONT. ISSN 1983-6031 REVISTA DO ARQUIVO GERAL DA CIDADE DO RIO DE JANEIRO)","B4"
"19818068","INTERAÇ<U+F1C3>O EM PSICOLOGIA (IMPRESSO)","B2"
"19818069","INTERAÇ<U+F1C3>O EM PSICOLOGIA","B2"
"19818076","INTERAÇ<U+F1C3>O EM PSICOLOGIA","B2"
"19818076","INTERAÇ<U+F1C3>O EM PSICOLOGIA (ONLINE)","B2"
"19818084","CONTINUUM","C "
"19818106","EDUCAÇ<U+F1C3>O: TEORIA E PRÁTICA","B1"
"19818114","BOLETIM DO MUSEU PARAENSE EMILIO GOELDI. CIENCIAS NATURAIS","C "
"19818114","BOLETIM DO MUSEU PARAENSE EMÍLIO GOELDI. CIÊNCIAS NATURAIS","B2"
"19818122","BOLETIM DO MUSEU PARAENSE EMÍLIO GOELDI. CIÊNCIAS HUMANAS","A1"
