"TITULO","ISSN","AREA","ESTRATO"
"AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","00029092","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS (ONLINE)","14678276","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"AMERICAN JOURNAL OF ECONOMICS AND BUSINESS ADMINISTRATION","19455488","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AMERICAN JOURNAL OF ENVIRONMENTAL PROTECTION","23285699","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AMERICAN JOURNAL OF INDUSTRIAL MEDICINE (PRINT)","02713586","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"AMERICAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH (ONLINE)","23284099","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AMERICAN JOURNAL OF POLITICAL SCIENCE","00925853","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"AMERICAN JOURNAL OF THEORETICAL AND APPLIED STATISTICS","23269006","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AMERYKA LACINSKA","15068900","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"ANAGRAMAS RUMBOS Y SENTIDOS DE LA COMUNICACION","16922522","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"ANAIS BRASILEIROS DE ESTUDOS TURÍSTICOS","22382925","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO)","00013765","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
